Tip localitate,LOCALITATE,JUDET,Ani,CUI,CAEN,ACTIVE IMOBILIZATE-TOTAL,ACTIVE CIRCULANTE-TOTAL,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI-TOTAL,Capital subscris varsat,Patromoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profit brut,Pierdere bruta,Profit net,Pierdere neta,Numar mediu de salariati,DENUMIRE,COD_INMATRICULARE,ADRESA COMPLETA
Sat,Tăuţi,Cluj,01.01.2019,35823506,5621,,89108,,,89108,,726,,,88382,200,,68715,68715,687,68028,0,66100,0,,DEWEEKEND CONCEPT SRL-D,J12/1158/2016,"Sat Tăuţi, Comuna Floreşti, Nr. 2C, Județ Cluj,,,,,,,,,,,,,,,,,"
Sat,Floreşti,Cluj,01.01.2019,40076814,5610,109081,124108,,7459,116649,,128268,,,104921,200,,410758,410758,301620,109138,0,104721,0,1,BROTHERS KAKABBU S.R.L.,J12/4900/2018,"Sat Floreşti, Comuna Floreşti, Str. SOMEŞULUI, Nr. 1B-2C, Etaj 3, Apartament 14, Județ Cluj,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2018,34090237,5610,230730,243773,1394,242160,219,,277365,,,197138,200,,0,0,25656,0,25656,0,25656,0,VINTAGE RESTAURANT INTERNATIONAL S.R.L.,J12/2721/2019,"Municipiul Cluj-Napoca, Str. AVRAM IANCU, Nr. 8, Apartament 2 B, Județ Cluj,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2017,34090237,5610,230730,242089,710,241160,219,,250025,,,222794,200,,351055,351171,264449,86722,0,83210,0,2,VINTAGE RESTAURANT INTERNATIONAL S.R.L.,J12/2721/2019,"Municipiul Cluj-Napoca, Str. AVRAM IANCU, Nr. 8, Apartament 2 B, Județ Cluj,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2016,34090237,5610,242014,102677,800,101174,703,,205159,,,139532,200,,500881,503855,437750,66105,0,58862,0,2,VINTAGE RESTAURANT INTERNATIONAL S.R.L.,J12/2721/2019,"Municipiul Cluj-Napoca, Str. AVRAM IANCU, Nr. 8, Apartament 2 B, Județ Cluj,,,,,,,,,,,,,,,"
Municipiul,Dej,Cluj,01.01.2016,32725813,5630,,200,,,200,,4525,,,-4325,200,,0,0,,0,0,0,0,,RUSSTAR SRL,J12/258/2014,"Municipiul Dej, Str. FRAGILOR, Nr. 5, Bloc C4, Scara B, Etaj 3, Apartament 23, Județ Cluj,,,,,,,,,,,,,,"
Municipiul,Dej,Cluj,01.01.2017,32725813,5630,,200,,,200,,4525,,,-4325,200,,0,0,,0,0,0,0,,RUSSTAR SRL,J12/258/2014,"Municipiul Dej, Str. FRAGILOR, Nr. 5, Bloc C4, Scara B, Etaj 3, Apartament 23, Județ Cluj,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2017,32649783,5630,573,1329557,5264,1324043,250,,2671412,,,-1341282,200,,0,0,438713,0,438713,0,438713,55,JANIS WORK SRL,J12/74/2014,"Municipiul Cluj-Napoca, B-dul EROILOR, Nr. 9, Etaj 2, Județ Cluj,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2018,33489001,5630,,3199,,3199,,,22076,,,-18877,200,,0,0,,0,0,0,0,,GAMERZ CENTER SRL,J12/2450/2014,"Municipiul Cluj-Napoca, B-dul 1 DECEMBRIE 1918, Nr. 128, Bloc D, Scara 4, Apartament 119, Județ Cluj,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2019,33489001,5630,,3199,,3199,,,22076,,,-18877,200,,0,0,,0,0,0,0,,GAMERZ CENTER SRL,J12/2450/2014,"Municipiul Cluj-Napoca, B-dul 1 DECEMBRIE 1918, Nr. 128, Bloc D, Scara 4, Apartament 119, Județ Cluj,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2016,33489001,5630,,3199,,3199,,,22076,,,-18877,200,,12870,12870,,12870,0,12870,0,,GAMERZ CENTER SRL,J12/2450/2014,"Municipiul Cluj-Napoca, B-dul 1 DECEMBRIE 1918, Nr. 128, Bloc D, Scara 4, Apartament 119, Județ Cluj,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2017,33489001,5630,,3199,,3199,,,22076,,,-18877,200,,0,0,,0,0,0,0,,GAMERZ CENTER SRL,J12/2450/2014,"Municipiul Cluj-Napoca, B-dul 1 DECEMBRIE 1918, Nr. 128, Bloc D, Scara 4, Apartament 119, Județ Cluj,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2016,33739680,5630,8383,203416,107799,48671,46946,,402487,,,-190688,200,,1186597,1187950,1162313,25637,0,25637,0,19,PLAYRON SRL,J12/3100/2014,"Municipiul Cluj-Napoca, Str. BUREBISTA, Nr. 10, Parter, Județ Cluj,,,,,,,,,,,,,,,,"
Sat,Fizeşu,Cluj,01.01.2017,36030045,5610,,16956,9402,6836,718,,-2520,,,19476,200,,75726,75726,56445,19281,0,18524,0,,POPAS PROD NATUR SRL,J12/1788/2016,"Sat Fizeşu Gherlii, Comuna Fizeşu Gherlii, Nr. 126, Județ Cluj,,,,,,,,,,,,,,,,,,"
Sat,Floreşti,Cluj,01.01.2016,35711707,5630,2292,11466,5727,2197,3542,,24084,,,-10326,200,,49068,57268,67147,0,9879,0,10526,2,PLAYHAPPY CAFE SRL,J12/819/2016,"Sat Floreşti, Comuna Floreşti, Str. CETĂŢII, Nr. 3A, Apartament 24, Județ Cluj,,,,,,,,,,,,,,,,"
Sat,Floreşti,Cluj,01.01.2018,36341769,5629,3643,57389,1365,35002,21022,,7216,,,53816,220,,295820,295820,226377,69443,0,66484,0,,RURAL TREASURES SRL,J12/2786/2016,"Sat Floreşti, Comuna Floreşti, Str. EROILOR, Nr. 190B, Scara 2, Etaj 2, Apartament 21, Județ Cluj,,,,,,,,,,,,,,"
Sat,Floreşti,Cluj,01.01.2017,36341769,5629,7286,10091,5269,,4822,,30045,,,-12668,220,,73509,74929,87068,0,12139,0,12888,,RURAL TREASURES SRL,J12/2786/2016,"Sat Floreşti, Comuna Floreşti, Str. EROILOR, Nr. 190B, Scara 2, Etaj 2, Apartament 21, Județ Cluj,,,,,,,,,,,,,,"
Sat,Floreşti,Cluj,01.01.2016,35779400,5610,,43463,20286,48,23129,,10936,,,32527,200,,148990,277086,242558,34528,0,32327,0,1,NOVA BONAVENTU SRL,J12/1048/2016,"Sat Floreşti, Comuna Floreşti, Str. SUB CETATE, Nr. 144, Apartament 3, Județ Cluj,,,,,,,,,,,,,,,,"
Sat,Gilău,Cluj,01.01.2016,36153501,5630,200,1184,,,1184,,55000,,,-53616,200,,0,0,53816,0,53816,0,53816,5,KALLOAN SRL,J12/2161/2016,"Sat Gilău, Comuna Gilău, Nr. 397A, Județ Cluj,,,,,,,,,,,,,,,,,,"
Sat,Gilău,Cluj,01.01.2017,36153501,5630,143903,184,,,184,,193441,,,-49354,200,,75000,75000,69988,5012,0,4262,0,5,KALLOAN SRL,J12/2161/2016,"Sat Gilău, Comuna Gilău, Nr. 397A, Județ Cluj,,,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2016,36434469,5610,17926,12120,11008,,1112,,65164,,,-35118,200,,21567,22490,57592,0,35102,0,35318,1,STONER EVENTS SRL-D,J12/3108/2016,"Municipiul Cluj-Napoca, Aleea AZUGA, Nr. 2, Apartament 4, Județ Cluj,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2018,37363978,5630,,20785,,5386,15399,,78376,,,-57591,200,,221782,221782,261288,0,39506,0,41300,,ROOIBOSTEA SRL,J12/1472/2017,"Municipiul Cluj-Napoca, B-dul 21 DECEMBRIE 1989, Nr. 93, Apartament 27, Județ Cluj,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2019,37363978,5630,,35788,9777,19772,6239,,132062,,,-96274,200,,266243,266243,300757,0,34514,0,38683,0,ROOIBOSTEA SRL,J12/1472/2017,"Municipiul Cluj-Napoca, B-dul 21 DECEMBRIE 1989, Nr. 93, Apartament 27, Județ Cluj,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2017,37363978,5630,,10557,0,0,10557,,26848,,,-16291,200,,220567,220567,234784,0,14217,0,16491,0,ROOIBOSTEA SRL,J12/1472/2017,"Municipiul Cluj-Napoca, B-dul 21 DECEMBRIE 1989, Nr. 93, Apartament 27, Județ Cluj,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2018,38308939,5610,2330,14523,14083,,440,,37403,,,-20550,200,,7895,7895,28566,0,20671,0,20750,4,YILDIZ IMPORT EXPORT SRL,J12/5890/2017,"Municipiul Cluj-Napoca, B-dul 21 DECEMBRIE 1989, Nr. 93, Apartament 27, Județ Cluj,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2019,38308939,5610,2756,33435,22683,6844,3908,,137089,,,-100898,200,,213538,213538,291376,0,77838,0,79786,7,YILDIZ IMPORT EXPORT SRL,J12/5890/2017,"Municipiul Cluj-Napoca, B-dul 21 DECEMBRIE 1989, Nr. 93, Apartament 27, Județ Cluj,,,,,,,,,,,,,,,,"
